quality,interval + next_quality,count,,quality,interval,next_quality,count
major-seventh,6 minor-11th,1,,major-seventh,6,minor-11th,1
major-seventh,9 dominant-13th,1,,major-seventh,9,dominant-13th,1
major-seventh,6 dominant-ninth,1,,major-seventh,6,dominant-ninth,1
dominant,5 major-seventh,999,,dominant,5,major-seventh,999
dominant,0 minor-seventh,191,,dominant,0,minor-seventh,191
dominant,5 minor-seventh,879,,dominant,5,minor-seventh,879
dominant,11 minor-seventh,122,,dominant,11,minor-seventh,122
dominant,0 dominant,675,,dominant,0,dominant,675
dominant,1 minor-seventh,13,,dominant,1,minor-seventh,13
dominant,8 minor-seventh,14,,dominant,8,minor-seventh,14
dominant,5 major,155,,dominant,5,major,155
dominant,5 major-sixth,492,,dominant,5,major-sixth,492
dominant,5 dominant,770,,dominant,5,dominant,770
dominant,11 dominant,358,,dominant,11,dominant,358
dominant,5 dominant-ninth,24,,dominant,5,dominant-ninth,24
dominant,1 dominant,60,,dominant,1,dominant,60
dominant,7 dominant-ninth,2,,dominant,7,dominant-ninth,2
dominant,9 minor-seventh,199,,dominant,9,minor-seventh,199
dominant,3 minor-seventh,21,,dominant,3,minor-seventh,21
dominant,5 major-ninth,16,,dominant,5,major-ninth,16
dominant,11 major-seventh,86,,dominant,11,major-seventh,86
dominant,6 minor-seventh,163,,dominant,6,minor-seventh,163
dominant,7 minor-seventh,193,,dominant,7,minor-seventh,193
dominant,5 suspended-fourth,27,,dominant,5,suspended-fourth,27
dominant,1 major-seventh,19,,dominant,1,major-seventh,19
dominant,2 major,3,,dominant,2,major,3
dominant,7 major-seventh,17,,dominant,7,major-seventh,17
dominant,2 minor-seventh,26,,dominant,2,minor-seventh,26
dominant,3 dominant,31,,dominant,3,dominant,31
dominant,5 minor,159,,dominant,5,minor,159
dominant,2 major-seventh,37,,dominant,2,major-seventh,37
dominant,9 dominant,44,,dominant,9,dominant,44
dominant,11 minor-sixth,13,,dominant,11,minor-sixth,13
dominant,6 dominant,22,,dominant,6,dominant,22
dominant,0 minor,2,,dominant,0,minor,2
dominant,1 dominant-13th,3,,dominant,1,dominant-13th,3
dominant,0 minor-ninth,3,,dominant,0,minor-ninth,3
dominant,4 major,5,,dominant,4,major,5
dominant,10 dominant,51,,dominant,10,dominant,51
dominant,11 dominant-ninth,6,,dominant,11,dominant-ninth,6
dominant,5 dominant-13th,11,,dominant,5,dominant-13th,11
dominant,11 diminished-seventh,2,,dominant,11,diminished-seventh,2
dominant,2 major-sixth,19,,dominant,2,major-sixth,19
dominant,7 minor,4,,dominant,7,minor,4
dominant,3 major-seventh,4,,dominant,3,major-seventh,4
dominant,2 dominant,28,,dominant,2,dominant,28
dominant,8 major-seventh,16,,dominant,8,major-seventh,16
dominant,1 major,6,,dominant,1,major,6
dominant,1 diminished-seventh,24,,dominant,1,diminished-seventh,24
dominant,5 minor-ninth,13,,dominant,5,minor-ninth,13
dominant,4 minor-seventh,43,,dominant,4,minor-seventh,43
dominant,10 major,5,,dominant,10,major,5
dominant,7 dominant,114,,dominant,7,dominant,114
dominant,10 major-sixth,1,,dominant,10,major-sixth,1
dominant,7 major-sixth,25,,dominant,7,major-sixth,25
dominant,4 major-sixth,6,,dominant,4,major-sixth,6
dominant,10 dominant-13th,1,,dominant,10,dominant-13th,1
dominant,5 diminished-seventh,5,,dominant,5,diminished-seventh,5
dominant,10 minor-sixth,3,,dominant,10,minor-sixth,3
dominant,5 minor-sixth,82,,dominant,5,minor-sixth,82
dominant,11 suspended-fourth,1,,dominant,11,suspended-fourth,1
dominant,10 major-seventh,16,,dominant,10,major-seventh,16
dominant,0 diminished-seventh,2,,dominant,0,diminished-seventh,2
dominant,11 diminished,1,,dominant,11,diminished,1
dominant,4 dominant,14,,dominant,4,dominant,14
dominant,11 minor,10,,dominant,11,minor,10
dominant,4 minor,4,,dominant,4,minor,4
dominant,3 dominant-13th,4,,dominant,3,dominant-13th,4
dominant,8 suspended-fourth,1,,dominant,8,suspended-fourth,1
dominant,2 minor,8,,dominant,2,minor,8
dominant,3 minor-sixth,7,,dominant,3,minor-sixth,7
dominant,8 dominant,3,,dominant,8,dominant,3
dominant,1 suspended-fourth,2,,dominant,1,suspended-fourth,2
dominant,5 minor-11th,4,,dominant,5,minor-11th,4
dominant,7 minor-ninth,2,,dominant,7,minor-ninth,2
dominant,6 major,1,,dominant,6,major,1
dominant,10 diminished-seventh,2,,dominant,10,diminished-seventh,2
dominant,11 minor-11th,1,,dominant,11,minor-11th,1
dominant,11 major-sixth,13,,dominant,11,major-sixth,13
dominant,11 major,7,,dominant,11,major,7
dominant,7 minor-sixth,1,,dominant,7,minor-sixth,1
dominant,0 major-sixth,15,,dominant,0,major-sixth,15
dominant,4 minor-sixth,2,,dominant,4,minor-sixth,2
dominant,6 major-seventh,8,,dominant,6,major-seventh,8
dominant,3 major,2,,dominant,3,major,2
dominant,6 diminished-seventh,4,,dominant,6,diminished-seventh,4
dominant,2 minor-sixth,2,,dominant,2,minor-sixth,2
dominant,6 minor-11th,1,,dominant,6,minor-11th,1
dominant,9 major-seventh,2,,dominant,9,major-seventh,2
dominant,0 major,5,,dominant,0,major,5
dominant,10 suspended-fourth,2,,dominant,10,suspended-fourth,2
dominant,1 minor-11th,1,,dominant,1,minor-11th,1
dominant,10 minor-seventh,19,,dominant,10,minor-seventh,19
dominant,1 diminished,1,,dominant,1,diminished,1
dominant,10 minor,1,,dominant,10,minor,1
dominant,9 diminished-seventh,1,,dominant,9,diminished-seventh,1
dominant,2 suspended-fourth,1,,dominant,2,suspended-fourth,1
dominant,0 suspended-fourth,1,,dominant,0,suspended-fourth,1
dominant,9 major,1,,dominant,9,major,1
dominant,4 dominant-13th,3,,dominant,4,dominant-13th,3
dominant,11 dominant-13th,3,,dominant,11,dominant-13th,3
dominant,10 minor-ninth,2,,dominant,10,minor-ninth,2
dominant,8 minor-11th,2,,dominant,8,minor-11th,2
dominant,0 major-seventh,1,,dominant,0,major-seventh,1
dominant,4 major-seventh,3,,dominant,4,major-seventh,3
dominant,6 dominant-ninth,2,,dominant,6,dominant-ninth,2
dominant,8 major,1,,dominant,8,major,1
dominant,3 major-sixth,3,,dominant,3,major-sixth,3
dominant,8 minor-sixth,2,,dominant,8,minor-sixth,2
dominant,1 major-sixth,2,,dominant,1,major-sixth,2
dominant,11 major-ninth,1,,dominant,11,major-ninth,1
minor-seventh,5 dominant,2838,,minor-seventh,5,dominant,2838
minor-seventh,0 minor-seventh,371,,minor-seventh,0,minor-seventh,371
minor-seventh,3 minor-seventh,28,,minor-seventh,3,minor-seventh,28
minor-seventh,3 major-seventh,14,,minor-seventh,3,major-seventh,14
minor-seventh,9 minor-seventh,97,,minor-seventh,9,minor-seventh,97
minor-seventh,11 minor-seventh,75,,minor-seventh,11,minor-seventh,75
minor-seventh,7 minor-seventh,42,,minor-seventh,7,minor-seventh,42
minor-seventh,11 dominant,83,,minor-seventh,11,dominant,83
minor-seventh,8 major-seventh,20,,minor-seventh,8,major-seventh,20
minor-seventh,4 major-seventh,4,,minor-seventh,4,major-seventh,4
minor-seventh,5 minor-seventh,360,,minor-seventh,5,minor-seventh,360
minor-seventh,4 minor-seventh,26,,minor-seventh,4,minor-seventh,26
minor-seventh,3 minor-sixth,27,,minor-seventh,3,minor-sixth,27
minor-seventh,11 diminished-seventh,53,,minor-seventh,11,diminished-seventh,53
minor-seventh,3 minor,5,,minor-seventh,3,minor,5
minor-seventh,10 major-sixth,6,,minor-seventh,10,major-sixth,6
minor-seventh,7 dominant,52,,minor-seventh,7,dominant,52
minor-seventh,10 minor-seventh,52,,minor-seventh,10,minor-seventh,52
minor-seventh,2 minor-seventh,101,,minor-seventh,2,minor-seventh,101
minor-seventh,10 dominant,21,,minor-seventh,10,dominant,21
